| Name                                               | Location          |  State | Tuition and fees | Undergrad Enrollment | Rank |
| Virginia Tech                                      | Blacksburg        |  VA    |           29 371 |               25 384 |   74 |
| Miami University--Oxford                           | Oxford            |  OH    |           31 592 |               16 387 |   79 |
| University of California--Santa Cruz               | Santa Cruz        |  CA    |           40 241 |               16 231 |   79 |
| University of Delaware                             | Newark            |  DE    |           31 420 |               18 322 |   79 |
| Colorado School of Mines                           | Golden            |  CO    |           34 828 |                4 608 |   82 |
| Michigan State University                          | East Lansing      |  MI    |           39 090 |               39 143 |   82 |
| Texas Christian University                         | Fort Worth        |  TX    |           42 670 |                8 894 |   82 |
| University of Iowa                                 | Iowa City         |  IA    |           28 413 |               23 357 |   82 |
| Binghamton University--SUNY                        | Binghamton        |  NY    |           22 164 |               13 491 |   86 |
| Indiana University--Bloomington                    | Bloomington       |  IN    |           34 246 |               38 364 |   86 |
| Marquette University                               | Milwaukee         |  WI    |           38 470 |                8 334 |   86 |
| University of Denver                               | Denver            |  CO    |           46 362 |                5 758 |   86 |
| University of San Diego                            | San Diego         |  CA    |           46 140 |                5 647 |   86 |
| University of Tulsa                                | Tulsa             |  OK    |           38 796 |                3 478 |   86 |
| Florida State University                           | Tallahassee       |  FL    |           24 673 |               32 706 |   92 |
| North Carolina State University--Raleigh           | Raleigh           |  NC    |           26 399 |               24 111 |   92 |
| University of Colorado--Boulder                    | Boulder           |  CO    |           35 079 |               27 010 |   92 |
| University of Vermont                              | Burlington        |  VT    |           40 364 |               10 973 |   92 |
| Drexel University                                  | Philadelphia      |  PA    |           51 030 |               14 138 |   96 |
| Saint Louis University                             | St. Louis         |  MO    |           40 726 |                8 248 |   96 |
| Stony Brook University--SUNY                       | Stony Brook       |  NY    |           26 266 |               16 831 |   96 |
| Auburn University                                  | Auburn            |  AL    |           28 840 |               21 786 |   99 |
| Loyola University Chicago                          | Chicago           |  IL    |           41 384 |               11 079 |   99 |
| SUNY College of Environmental Science and Forestry | Syracuse          |  NY    |           17 620 |                1 839 |   99 |
| University at Buffalo--SUNY                        | Buffalo           |  NY    |           26 270 |               19 951 |   99 |
| Illinois Institute of Technology                   | Chicago           |  IL    |           45 214 |                2 991 |  103 |
| University of Alabama                              | Tuscaloosa        |  AL    |           26 950 |               31 958 |  103 |
| University of Oregon                               | Eugene            |  OR    |           33 442 |               20 538 |  103 |
| University of Tennessee                            | Knoxville         |  TN    |           30 858 |               21 863 |  103 |
| Rochester Institute of Technology                  | Rochester         |  NY    |           38 568 |               12 607 |  107 |
| University of New Hampshire                        | Durham            |  NH    |           31 424 |               13 034 |  107 |
| University of San Francisco                        | San Francisco     |  CA    |           44 494 |                6 782 |  107 |
| University of South Carolina                       | Columbia          |  SC    |           31 282 |               25 237 |  107 |
| Iowa State University                              | Ames              |  IA    |           21 483 |               30 034 |  111 |
| University of Dayton                               | Dayton            |  OH    |           40 940 |                8 665 |  111 |
| University of Missouri                             | Columbia          |  MO    |           25 892 |               27 812 |  111 |
| University of Nebraska--Lincoln                    | Lincoln           |  NE    |           23 148 |               20 182 |  111 |
